DictWordID,HoaBun,HanLoTaibunPoj,,,
45,老薑,薑母,giūn-bhù/bhòr,Kiunn1bu2/bo2,Kiu°-bú/bó
46,肉圓,"肉丸
 肉回(鹿港)","bhà-ŭan
 bhà-hŭe","Bah4uan5
 Bah4hue5","Bah-oân
 bah-hôe"
47,肉鬆,肉酥,bhà-so,Bah4soo1,Bah-s¬
48,西瓜,西瓜,sī-gue,Si1kue1,Si-koe
49,冷飯,凊飯,cìn-bn̄g,Chin3png7,Chhìn-p¤g
50,刨冰,銼冰,cùa-bing,Chuah4ping1,Chhoah-peng
51,李子,李仔,li-à,Li2a2,Lí-á
52,汽水,"涼水
 汽水","liāng-zùi
 kì-zùi","Liang5cui2
 Khi3cui2","Liâng-chúi;
 Khì-chúi"
53,芒果,檨仔,sūain-à,Suainn7a2,Söai°-á
54,芒果乾,檨仔乾,sūain-a-guan,Suainn7a2kuann1,Söai°-á-koa°
55,芋頭,"山芋
 芋仔","sūan-ō
 ō-à","Suann1oo7
 Oo7a2","Soa°-³
 ³-á"
56,豆芽菜,"豆菜
 豆菜芽","dau-cai
 dau-cài-ghĕ","Tau7chai3
 Tau7chai3ge5","Täu-chhài
 Täu-chhài-gê"
57,豆花,"豆花
 豆腐花","dau-hue
 dau-hu-hue","Tau7hue1
 Tau7hu7hue1","Täu-hoe
 Täu-hü-hoe"
58,豆豉,"窨豉仔
 豆豉","ìm-sīn-à
 dau-sīn","Im3sinn7a2
 Tau7sinn7","Ìm-s„n-á;
 Täu-s„°"
59,豆腐,豆腐,dau-hū,Tau7hu7,Täu-hü
60,豆腐皮,"豆皮
 豆腐皮","dau-pŭe/pĕ
 dau-hu- pŭe/pĕ","Tau7phue5/phe5
 Tau7hu7phue5/phe5","Täu-phôe/phê
 Täu-hü-phôe/ phê"
61,豆腐乳,豆乳,dau-rù/lù,Tau7ju2/lu2,Täu-jú/lú
62,豆腐乾,豆乾,dau-guan,Tau7kuann1,Täu-koa°
63,豆漿,豆奶,dau-ni/ling,Tau7ni1/ling1,Täu-ni/leng
64,豆瓣醬,豆醬,dau-ziun,Tau7ciunn3,Täu-chiù°
65,車輪餅,"管仔粿
 車輦粿","gong-a-gùe/gè
 ciā-lian-gùe/gè","Kong2a2kue2/ke2
 Chia1lian2kue2/ke2","Kóng-á-kóe/ké
 Chhia-lián-kóe/ké"
66,佳餚,腥臊,cēn-cau,Chenn1chau1,Chhe -chhau
67,味精,味素,bhi-so,Bi7soo3,B„-s±
68,味噌湯,味素湯,bhi-sò-tng/mi-sòr-tng,Bi7soo3thng1/mi1soh4thng1,B„-s±-thng/mi-soh-thng
69,招牌菜,手路菜,ciu-lo-cai,Chiu2loo7chai3,Chhiú-l³-chhài
70,披薩,外國油蔥餅,ghua-gok-iū-cāng-biàn,Gua7kok4iu5chang1piann2,Göa-kok-iû-chhangPiá°
71,枇杷,枇杷,bī-bĕ,Pi5pe5,Pî-pê
72,油條,油炸粿,iū-cia-gùe/gè,Iu5cia7kue2/ke2,Iû-chia-kóe/ké
73,空心菜,蕹菜,ìng-cai,Ing3chai3,Èng-chhài
74,肥肉,肥肉,būi-bhāh,pui5bah4,Pûi-bah
75,芹菜,芹菜,kīn-cai,Khin5chai3,Khîn-chhài
76,花生,"長生果
 塗豆","diōng-sīng-gòr
 tō-dāu","Tiong5sing1ko2
 Thoo5tau7","T£g-seng-kó
 Th²-täu"
77,花生油,"火油
 塗豆油","hue-iŭ
 tō-dau-iŭ","Hue2iu5
 Thoo5tau7iu5","Hóe-iû
 th²-täu-iû"
78,花生糖,塗豆糖,tō-dau-tňg,Thoo5tau7thng5,Th²-täu-th£g
79,花椰菜,花菜,hūe-cai,Hue1chai3,Hoe-chhài
80,芥末,Wa-sa-bih,ūa-sa-bhīh,Ua1sa1bih4,Oa-sa-bih
81,芥菜,芥菜 長年菜 春菜,"gùa-cai dn̄g -nī- cai
 cūn- cai",Kua3chai3 Tng5ni5chai3 Chun1chai3,Kòa-chhài t£g-nî-chhài chhun-chhài
82,金棗,金棗,gīm-zòr,Kim1cho2,Kim-chó
83,青江菜,湯匙仔菜,tn̄g -sī-a- cai,Thng1si5a2chai3,Thng-sî-á-chhài
84,青蒜,蒜仔,suan-à,Suan3a2,Sòan-á
85,便當,飯包,bng-bau,Png7pau1,P¤g-pau
86,南瓜,金瓜,gīm-gue,Kim1kue1,Kim-koe
87,柿子,"柿仔 紅柿
 浸柿","kī-à
 āng-kī
 zìm-kī","Khi7a2 Ang5khi7
 Cim3khi7","Kh„-á âng-kh„
 chìm-kh„"
88,柚子,柚仔,iū-à,Iu7a2,Iü-á
89,柳丁,柳丁,liu-ding,Liu2ting1,Liú-teng
90,洋菜,菜燕,cài-ian,Chai3ian3,Chhài-iàn
91,洋菇,松茸,siōng-riŏng,Siong1jiong5,Siong-jiông
92,洋蔥,蔥頭,cāng-tău,Chang1thau5,Chhang-thâu
93,紅菜,紅鳳菜,āng-hong-cai,Ang5hong7chai3,Âng-höng-chhài
94,紅糖,烏糖,ō-tňg,Oo1thng5,¬-th£g
95,紅蘿蔔,紅菜頭,āng-cài-tău,Ang5chai3thau5,Âng-chhài-thâu
96,苦瓜,苦瓜,ko-gue,Khoo2kue1,Kh¯-koe
97,茄子,"紅皮菜 茄仔
 茄","āng-pūe- cai giōr-à
 giŏr","Ang5phue5chai3 Kio5a2
 Kio5","Âng-phôe-chhài kiô-á
 kiô"
98,韭菜,韭菜,gu- cai,Ku2chai3,Kú-chhài
99,韭黃,白韭菜,beh-gu-cai,Peh8ku2chai3,Pçh-kú-chhài
100,香瓜,芳瓜,pāng-gue,Phang1kue1,Phang-koe
101,香油,香油,hiāng-iŭ,Hiang1iu5,Hiang-iû
102,香菜,芫荽,iān-sui,Ian5sui1,Iân-sui
103,香菇,香菇,hiūn-go,Hiunn1koo1,Hiu°-k¬
104,香腸,"煙腸
 灌腸","iān-ciăng
 gùan-ciăng","Ian1chiang5
 Kuan3chiang5","Ian-chhiâng
 kòan-chiâng"
105,香蕉,芎蕉,gīn/gīng-zior,Kin1/king1cio1,kin/keng-chio
106,海產粥,海產糜,hai-san-mŭe/bhĕ,Hai2san2mue5/be5,Hái-sán-môe/bê
107,烤肉,烘肉,hāng-bhāh,Hang1bah4,Hang-bah
108,烤魷魚,炰魷魚,bu-riū/liū-hĭ,Pu5jiu5/liu5hi5,Pû jiû/liû-hî
109,脂肪肝,粉肝,hun-guan,Hun2kuann1,Hún-koa°
110,胰臟,腰尺,iōr-ciōrh,Io1chioh4,Io-chhioh
111,荔枝,荔枝,nai/lai-zi,Nai7/lai7ci1,Näi/läi-chi
112,茶葉,茶米,dē-bhì,De5bi2,Tê-bí
113,酒,燒酒,siōr-ziù,Sio1ciu2,Sio-chiú
114,高麗菜,"卷心菜
 高麗菜","gng-sīm-cai
 gōr-le-cai","Kng2sim1chai3
 Ko1le7chai3","K¡g-sim-chhài;
 Ko-lë-chhài"
115,茼蒿,"茼蒿
 拍某菜","dāng-or
 pà-bho-cai","Tang5o1
 Phah4boo2chai3","Tâng-o
 Phah-b¯-chhài"
116,豇豆,"長豆
 菜豆","dng -dāu
 cài-dāu","Tng5tau7
 Chai3tau7","T£g-täu
 chhài-täu"
117,梅子,梅仔,mūi/m̄-à,Mui5/m5a2,Mûi/—-á
118,梨子,梨仔,lāi-à,Lai5a2,Lâi-á
119,瓠瓜,匏仔,bū-à,Pu5a2,Pû-á
120,荷包蛋,卵包,nng-bau,Nng7pau1,N¤g-pau
121,蛋白,卵青,nng-cing,Nng7ching1,N¤g-chheng
122,蛋炒飯,炒卵飯,ca-nng-bn̄g,Cha2nng7png7,Chhá-n¤g-p¤g
123,蛋花湯,卵湯,nng-tng,Nng7thng1,N¤g-thng
124,蛋黃,卵仁,nng-rĭn,Nng7jin5,N¤g-jîn
125,蛋糕,雞卵糕,gē-nng-gor,Ke1nng7ko1,Ke-n¤g-ko
126,麥茶,麥仔茶,bheh-a-dĕ,Peh8a2te5,Bçh-á-tê
127,麻油,麻油,mūa-iŭ,Mua5iu5,Môa-iû
128,棗子,棗仔,zor-à,Co2a2,Chó-á
129,棉花糖,棉絲糖,mī-sī-tňg,Mi5si1thng5,Mî-si-th£g
130,"番石榴
 芭樂","菝仔
林菝仔","bat-à
 nia-buat-à","Pat8a2;
 Nia2puat8a2","Pãt-á
 niá-poãt-á"
131,稀飯,"泔糜仔糜
 洘頭糜","am-mūe-à mŭe
 kor-tāu-mŭe","Am2mue5a2 Mue5
 Kho2thau5mue5","Ám-môe-á môe
 khó-thâu-môe"
132,紫菜,海菜,hai-cai,Hai2chai3,Hái-chhài
133,絲瓜,菜瓜,cài-gue,Chai3kue1,Chhài-koe
134,腎,腰子,iōr-zì,Io1ci2,Io-chí
135,菠菜,菠菱仔菜,būe-līng-a-cai,Pue1ling5a2chai3,Poe-lêng-á-chhài
136,開水,滾水,gun-zùi,Kun2cui2,Kún-chúi
137,陽春麵,湯麵,tn̄g -mī,Thng1mi7,Thng-m„
138,飯糰,飯丸,bng-ŭan,Png7uan5,P¤g-oân
139,黃瓜,刺瓜仔,cì-gūe-à,Chi3kue1a2,Chhì-koe-á
140,黑醋,烏醋,ō-co,Oo1choo3,¬-chh±
141,椰子,椰子,ia-zì,Ia5ci2,Iâ-chí
142,楊桃,楊桃,iūn-tŏr,Iunn5tho5,Iû°-thô
143,煤油,番仔油,hūan-a-iŭ,Huan1a2iu5,hoan-á-iû
144,萵苣,萵仔菜,ūe-a-cai,Ue1a2chai3,oe-á-chhài
145,葡萄,葡萄,pū-tŏr/pōr-tŏr,Phu5tho5/pho5tho5,Phû-thô/phô-thô
146,零食,四秀仔,sì-siu-à,Si3siu3a2,Sì-siù-á
147,壽司,"壽司 臭酸飯 醋飯箍
 su-sih","càu-sn̄g-bn̄g
 cò-bng-ko su-sīh",Chau3sng1png7 Choo3png7khoo1 Su1-sih4,Chhàu-sng-p¤g Chh±-p¤g-kh¬ su-sih
148,蒸蛋,燉卵 炊卵,"dim-nn̄g
 

 cūe-nn̄g",Tim7nng7 Chue1nng7,T„m-n¤g;chhoe-n¤g
149,蜜餞,蜜李鹹 鹹酸甜 李仔鹹,"bhit-li-giăm giām-sn̄g -din
 li-a-giăm",Bit8li2kiam5 Kiam5sng1tinn1 Li2a2kiam5,B…t-lí-kiâm Kiâm-sng-ti° lí-á-kiâm
150,辣椒,"薟椒仔
 番仔薑","hiām-ziōr-à
 hūan-a-giun","Hiam1cio1a2
 Huan1a2kiunn1","Hiam-chio-á
 Hoan-á-kiu°"
151,鳳梨,王梨,ōng-lăi,Ong5lai5,Ông-lâi
152,稻子,"粟仔
 稻仔","cik-à
 diū-à","Chik4a2
 Tiu7a2","Chhek-á
 tiü-á"
153,蓮霧,蓮霧,liān-bhū,Lian5bu7,Lián-bü
154,蔥,蔥仔,cāng-à,Chang1a2,Chhang-á
155,蝦仁,"蝦米
 蝦蜱","hē-bhì
 hē-bi","He5bi2
 He5pi1","Hê-bí
 hê-pi"
156,豌豆,"荷仁豆
 荷蘭豆","hōr-rīn-dāu
 hōr-lān-dāu","Ho5jin5tau7
 Ho5lan5tau7","Hô-jîn-täu
 hô-lân-täu"
157,豬血糕,豬血粿,dī-hùi/hùe-gùe/gè,Ti1huih4/hueh4kue2/ke2,Ti- huih/hoeh -kóe/ké
158,醋,酸醋,sn̄g-co,Sng1choo3,Sng-chh±
159,髮菜,頭毛菜,tāu-mō/mňg-cai,Thau5moo5/mng5chai3,Thâu-m£g-chhài
160,橘子,柑仔,gām-à,Kam1a2,Kam-á
161,橄欖,草橄仔,cor-gān-à,Cho2kan1a2,Chhó-kán-á
162,燙青菜,煠青菜,sah-cīn-cai,Sah8chinn1chai3,Sãh-chhi°-chài
163,糖果,糖仔,tn̄g-à,Thng5a2,Th£g-á
164,糖葫蘆,李仔攕,li-a-ciàm,Li2a2chiam2,Lí-á-chhiám
165,蕃茄,"柑仔蜜
 臭柿仔","gām-a-bhit
 càu-kī-à","Kam1a2bit8
 Chau3khi7a2","Kam-á-b…t;
 Chhàu-kh„-á"
166,餛飩,扁食,bian-sit,Pian2sit8,Pián-s…t
167,鴨賞,"鴨巴
 鴨賞","à-ba
 à-siùn","Ah4pa1
 Ah4siunn2","Ah-pa
 Ah-siú°"
168,龍眼乾,龍眼乾,ling-ghing-guan,Ling5ging2kuann1,Lêng-géng-koa°
169,鍋巴,飯糒,bng-pì,Png7phi2,P¤g-phí
170,鍋貼,水餃煎,zui-giau-zian,Cui2kiau2cian1,Chúi-kiáu-chian
171,檸檬,檸檬,lē-bhòng,Le5bong2,Lê-bóng
172,醬油,豆油,dau-iŭ,Tau7iu5,Täu-iû
173,醬油膏,豆油膏,dau-iū-gor,Tau7iu5ko1,Täu-iû-ko
174,雙胞胎,"雙生仔
 馬花糋","siāng-sīn-à
 bhe-hūe-zin","Siang1sinn1a2;
 Be2hue1cinn3","Siang-si°-á
 bé-hoe-chì°"
175,爆米花,磅米芳,bong-bhi-pang,Pong7bi2phang1,Pöng-bí-phang
176,糯米腸,秫米腸,zut-bhi-dňg,Cut8bi2tng5,Chýt-bí-t£g
177,蘆筍,蘆筍,lō-sùn,Loo5sun2,L²-sún
178,蘋果,"蓬果
 lin-goh4","pong-gòr
 lìn-ghōrh","Phong5ko2
 Lin2-goh4","Phông-kó
 lín-goh"
179,釋迦,釋迦,sik-kia/gia,Sik4khia1/kia1,Sek-khia/kia
180,鹹稀飯,鹹糜,giām-mŭe,Kiam5mue5,Kiâm-môe
181,麵包,麭,pàng,Phang2,Pháng
182,麵茶,麵茶,mi-dĕ,Mi7te5,M„-tê
183,麵筋,"麵黐
 麵炙","mi-ti
 mi-zia","Mi7thi1
 mi7cia3","M„-thi
 m„-chià"
184,麵線,麵線,mi-suan,Mi7suann3,M„-sòa°
185,蘿蔔乾,菜脯,cài-bò,Chai3poo2,Chhài-p¯
186,蘿蔔糕,菜頭粿,cài-tāu-gùe/gè,Chai3thau5kue2/ke2,Chhài-thâu-kóe
187,蠶豆,"馬齒豆 齒豆
 蠶豆","bhe-ki-dāu ki-dāu
 cān-dāu","Be2khi2tau7 khi2tau7
 chan5tau7","Bé-khí-täu khí-täu
 Chhân-täu"
188,九官鳥、八哥,鵁鴒,gā-līng,Ka1ling7,Ka-lëng
189,土魠魚,土魠魚,tō-tūt-hĭ,Thoo5thut4hi5,Th²-thut-hî
190,孑孓,水蛆,zui-cu/ci,Cui2chu1/chi1,Chúi-chhu/chhi
191,小山羊,羊仔囝,iūn-a-giàn,Iunn5a2kiann2,Iû°-á-kiá°
192,小公雞,"雞角仔
 雞雄仔","gē-gak-à
 gē-hīng-à","Ke1kak4a2
 Ke1hing5a2","Ke-kak-á
 Ke-hêng-á"
193,小母雞,雞僆仔,gē-nūa-à,Ke1nua5a2,Ke-nôa-á
194,小鳥,鳥仔,ziau-à,Ciau2a2,Chiáu-á
195,小鴨子,鴨微仔,à-bhī-à,Ah4bi5a2,Ah-bî-á
196,小雞,雞仔囝,gē-a-giàn,Ke1a2kiann2,Ke-á-kiá°
197,公牛,"牛公
 牛犅","ghū-gang
 ghū-gàng","Gu5kang1
 Gu5kang2","Gû-kang
 Gû-káng"
198,公豬,豬哥,dī-gor,Ti1ko1,Ti-ko
199,公鴨,鴨角,à-gāk,Ah4kak4,Ah-kak
200,公雞,"雞公
 雞角仔","ge-gang
 gē-gak-à","Ke1kang1
 Ke1kak4a2","Ke-kang;
 Ke-kak-á"
201,天牛,牛角(歪)仔,ghū-gak-uain-à,Gu5kak4(uainn2)a2,Gû-kak(oái°)-á
202,比目魚,"半爿魚 皇帝魚
 扁魚","bùan-bīng-hĭ hōng-dè-hĭ
 bin-hĭ","Puann3ping5hi5 Hong5te3hi5
 Pinn2hi5","Pòa°-pêng-hî Hông-tè-hî
 Pí°-hî"
203,毛毛蟲,刺毛蟲,cì-mō-tăng,Chi3moo5thang5,Chhì-m²-thâng
204,水牛,水牛,zui-ghŭ,Cui2gu5,Chúi-gû
205,水母,虫宅,tē,The7,Thë
206,水蛭,"毛蜞
 蜈蜞","mō-kĭ
 ngō/ghō-kĭ","Moo5khi5
 Ngoo5/goo5khi5","M²-khî
 ng²/g²-khî"
207,牛蝨,牛蜱,ghū-bi,Gu5pi1,Gû-pi
208,田螺,田螺,cān-lĕ,Chan5le5,Chhân-lê
209,田雞、青蛙,"水雞
 田蛤仔","zui-ge
 cān-gap-à","Cui2ke1
 Chan5kap4a2","Chúi-ke;
 Chhân-kap-á"
210,白頭翁,白頭殼仔,beh-tau-kok-à,Peh8thau5khok4a2,Pçh-thâu-khok-á
211,白帶魚,"白刀
 白帶魚","beh-dor
 beh-dùa-hĭ","Peh8to1
 Peh8tua3hi5","Pçh-to
 pçh-tòa-hî"
212,白蟻,"大水蟻
 白蟻","dua-zui-hiā
 beh-hiā","Tua7cui2hia7
 Peh8hia7","Töa-chúi-hiä
 pçh-hiä"
213,白鷺鷥,白鴒鷥,beh-ling-si,Peh8ling5si1,Pçh-lêng-si
214,石斑魚,"石斑
 郭仔魚","ziorh-ban
 gè/gùe-a-hĭ","Cioh8pan1
 Keh4/kueh4a2hi5","Chiõh-pan
 Keh/koeh-á-hî"
215,企鵝,徛鵝,kia-ghŏr,Khia7go5,Khiä-gô
216,百步蛇,"百步蛇
 七步蛇","bà-bo-zŭa
 cit-bo-zŭa","Pah4poo7cua5
 Chit4poo7cua5","Pah-p³-chôa
 Chhit-p³-chôa"
217,老鼠,鳥鼠,niau-cì/cù,Niau2chi2/chu2,Niáu-chhí/chhú
218,老鷹,"覓鶚
 獵鶚
 鷹仔虎","bha-hiorh lah-hiorh
 īng-a-hò",Ba7hioh8 lah8hioh8 ing1a2hoo2,"Bä-hiõh lãh-hiõh
 eng-á-h¯"
219,吳郭魚,南洋鮐仔 南洋鯛(tai5)仔 吳郭魚 南洋仔 魚鯽仔,"ngō/ghō-gùe-hĭ lām-iūn-à
 hī-zit-à","Ngoo5/goo5kueh4hi5
 Nam5iunn5a2 Hi5cit4a2","Ng²/g²-koeh-hî nâm-iû°-á
 hî-chit-á"
220,杜鵑,"杜鵑
 吐血鳥","do-guan
 tò-het/hùi-ziàu","Too7kuan1
 Thoo3 hiat4/huih4ciau2","T³-koan
 Th±-hiat/huih-chiáu"
221,牡蠣,蚵仔,ōr-à,O5a2,Ô-á
222,乳牛,奶牛,līng/nī-ghŭ,Ling1/ni1gu5,leng/ni-gû
223,乳豬,豬仔囝,dī-a-giàn,Ti1a2kiann2,Ti-á-kiá°
224,兔,兔仔,to-à,Thoo3a2,Th±-á
225,夜鷺,暗光鳥,àm-gōng-ziàu,Am3kong1ciau2,Àm-kong-chiáu
226,招潮蟹,"白跤拽仔
 砂馬仔","beh-kā-et-à
 sūa-bhe-à","Peh8kha1iat8a2
 Sua1be2a2","Pçh-kha-iãt-á;
 Soa-bé-á"
227,白鼻心,"果子狸
 白面貍","gue-zi-bhă
 beh-bhin-bhă","Kue2ci2ba5
 Peh8bin7ba5","kóe-chí-bâ
 Pçh-b„n-bâ"
228,松鼠,膨鼠,pòng-cì/cù,Phong3chi2/chu2,Phòng-chhí/chhú
229,泥鰍,鰗鰡,hō-liu,Hoo5liu1,H²-liu
230,河豚,"刺胿
 鬼仔魚","cì-gui
 gui-a-hĭ","Chi3kui1
 Kui2a2hi5","Chhì-kui
 Kúi-á-hî"
231,狗,狗仔,gau-à,Kau2a2,Káu-á
232,知了、蟬,"𧌄(虫奄)蜅蠐
 蟬","ām-bō-zĕ
 siăn /siăm","Am1poo5ce5
 Sian5/siam5","Am-p²-chê
 Siân/siâm"
233,花枝,花枝,hūe-gi,Hue1ki1,Hoe-ki
234,花蟹,"虫市仔
 菜蟳","cī-à
 cài-zĭm","Chi7a2
 Chai3cim5","Chh„-á
 Chhài-chîm"
235,虎,虎,hò,Hoo2,H¯
236,虱目魚,虱目魚,sat-bhak-hĭ,Sat4bak8hi5,Sat-bãk-hî
237,金魚,金魚,gīm-hĭ,Kim1hi5,Kim-hî
238,"長腳蜘蛛(蟢蛛)",蟧蜈,lā-ghiă,La5gia5,Lâ-giâ
239,長頸鹿,"麒麟鹿 長頷鹿
 長麒麟","dng-am-lok dng-gī-lĭn
 gī-līn-lok","Tng5am7lok8 Tng5ki5lin5
 Ki5lin5lok8","T£g- m-lõk T£g-kî-lîn
 kî-lîn-lõk"
240,青竹絲,青竹絲,cīn/cēn-dik-si,Chinn1/chenn1tik4si1,chhi°/chhe°-tçk-si
241,炸彈魚,煙仔魚,iān-a-hĭ,Ian1a2hi5,Ian-á-hî
242,穿山甲,"鯪鯉
 土龜","la-lì
 tō-gu","La5li2
 thoo5ku1","Lâ-lí
 th²-ku"
243,飛魚,飛烏,būe/bē-o,Pue1/pe1oo1,Poe/be-¬
244,海豹,海狗,hai-gàu,Hai2kau2,Hái-káu
245,海豚,"海豬仔
 海鼠(澎湖)","hai-dī-à
 hai-cì","Hai2ti1a2
 Hai2chi2","Hái-ti-á
 Hái-chhí"
246,海鳥,海鳥,hai-ziàu,Hai2ciau2,Hái-chiáu
247,海蜥蜴,水杜定,zui-do-dīng,Cui2too7ting7,Chúi-t³-tëng
248,海鷗,海雞母,hai-gē-bhù,Hai2ke1bu2,Hái-ke-bú
249,烏賊,墨賊仔,bhak-zat-à,Bak8cat8a2,Bãk-chãt-á
250,烏鴉,烏鴉,ō-a,Oo1a1,¬-a
251,臭蟲,木虱,bhak-sāt,bak8sat4,Bãk-sat
252,蚊蟲,蠓仔,bhang-à,Bang2a2,Báng-á
253,蚌、蛤,蚶仔,hām-à,Ham1a2,Ham-á
254,豹,豹,ba,Pa3,Pà
255,馬,馬,bhè,Be2,Bé
256,鬥魚,三斑魚,sām-bān-hĭ,Sam1pan1hi5,Sam-pan-hî
257,蛇,蛇,zŭa,Cua5,Chôa
258,蚱蜢,草蜢仔,cau-meh/mih-à,Chau2meh4/mih4a2,Chháu-meh/mih-á
259,蚯蚓,杜蚓,"do-gùn do-gìn do-ùn
 do-lùn","Too7kun2 Too7kin2 Too7 un2
 Too7lun2","T³-kún T³-kín T³-ún
 T³-lún"
260,章魚,"thah4-khoh 4
 石磯
 土婆仔",tah-korh ziorh-gi tō-bōr-à,thah4khoh4 cioh8ki1 thoo5po5a2,Thah-khoh Chiõh-ki th²-pô-á
261,鳥,鳥仔,ziau-à,Ciau2a2,Chiáu-á
262,鹿,鹿仔,lok-à,Lok8a2,Lõk-á
263,麻雀,"粟鳥仔
 厝鳥仔 厝角鳥仔","cik-ziau-à cù-ziau-à
 cù-gak-ziau-à","Chik4ciau2a2 Chu3ciau2a2
 Chu3kak4ciau2a2","Chhek-chiáu-á Chhù-chiáu-á
 Chhù-kak-chiáu-á"
264,斑鳩,斑甲,bān-gāh,Pan1kah4,Pan-kah
265,犀牛,犀牛,sāi-ghŭ,Sai1-gu5,sai-gû
267,猴子,猴山仔,gāu-sān-à,Kau5san1a2,Kâu-san-á
268,畫眉鳥,花眉仔,hūe-bhī-à,Hue1bi5a2,Hoe-bî-á
269,象,象,ciūn,Chiunn7,Chhiü°
270,無尾熊,無尾熊,bhōr-bhue-hĭm,Bo5bue2him5,Bô-bóe-hîm
271,黃蜂,虎頭蜂,ho-tāu-pang,Hoo2thau5phang1,H¯-thâu-phang
272,黃鼠狼,赤鼠,cià-cì/cù,Chiah4chhi2/chu2,Chhiah-chhí/chhú
